Date,Country,Status,AQI Value
15-06-2023,Uzbekistan,Moderate,93
15-06-2023,Vatican,Good,34
15-06-2023,Venezuela,Good,1
15-06-2023,Vietnam,Moderate,96
15-06-2023,Zambia,Unhealthy,167
22-06-2023,Albania,Good,41
22-06-2023,Algeria,Good,25
22-06-2023,Andorra,Good,17
22-06-2023,Angola,Unhealthy for Sensitive Groups,126
22-06-2023,Argentina,Moderate,66
22-06-2023,Armenia,Good,27
22-06-2023,Australia,Good,50
22-06-2023,Austria,Moderate,51
22-06-2023,Azerbaijan,Good,50
22-06-2023,Bahrain,Moderate,82
22-06-2023,Bangladesh,Unhealthy for Sensitive Groups,101
22-06-2023,Belarus,Moderate,63
22-06-2023,Belgium,Good,47
22-06-2023,Belize,Good,3
22-06-2023,Bermuda,Good,6
22-06-2023,Bolivia,Unhealthy for Sensitive Groups,115
22-06-2023,Bosnia and Herzegovina,Moderate,87
22-06-2023,Brazil,Moderate,85
22-06-2023,Brunei,Good,10
22-06-2023,Bulgaria,Good,25
22-06-2023,Burkina Faso,Unhealthy for Sensitive Groups,119
22-06-2023,Cambodia,Good,15
22-06-2023,Canada,Unhealthy for Sensitive Groups,108
22-06-2023,Cape Verde,Good,38
22-06-2023,Cayman Islands,Good,12
22-06-2023,Chile,Unhealthy for Sensitive Groups,138
22-06-2023,China,Unhealthy,157
22-06-2023,Colombia,Moderate,59
22-06-2023,Costa Rica,Good,19
22-06-2023,Croatia,Good,47
22-06-2023,Cyprus,Moderate,54
22-06-2023,Czech Republic,Moderate,67
22-06-2023,Denmark,Good,25
22-06-2023,Dominican Republic,Good,19
22-06-2023,Ecuador,Good,33
22-06-2023,El Salvador,Moderate,88
22-06-2023,Estonia,Good,48
22-06-2023,Ethiopia,Unhealthy,163
22-06-2023,Finland,Moderate,64
22-06-2023,France,Moderate,62
22-06-2023,French Guiana,Good,11
22-06-2023,Gabon,Unhealthy for Sensitive Groups,103
22-06-2023,Georgia,Good,47
22-06-2023,Germany,Moderate,72
22-06-2023,Ghana,Moderate,65
22-06-2023,Gibraltar,Good,17
22-06-2023,Greece,Good,48
22-06-2023,Grenada,Good,10
22-06-2023,Guadeloupe,Good,38
22-06-2023,Guam,Good,4
22-06-2023,Guatemala,Moderate,61
22-06-2023,Honduras,Good,21
22-06-2023,Hong Kong,Good,49
22-06-2023,Iceland,Good,15
22-06-2023,India,Very Unhealthy,207
22-06-2023,Indonesia,Unhealthy for Sensitive Groups,117
22-06-2023,Iran,Unhealthy for Sensitive Groups,127
22-06-2023,Ireland,Good,37
22-06-2023,Israel,Moderate,77
22-06-2023,Italy,Moderate,62
22-06-2023,Ivory Coast,Good,21
22-06-2023,Japan,Moderate,66
22-06-2023,Jersey,Moderate,88
22-06-2023,Jordan,Good,27
22-06-2023,Kazakhstan,Very Unhealthy,224
22-06-2023,Kenya,Unhealthy for Sensitive Groups,109
22-06-2023,Kosovo,Moderate,62
22-06-2023,Kuwait,Moderate,84
22-06-2023,Kyrgyzstan,Moderate,52
22-06-2023,Laos,Good,24
22-06-2023,Latvia,Moderate,63
22-06-2023,Lebanon,Unhealthy for Sensitive Groups,108
22-06-2023,Liberia,Good,32
22-06-2023,Liechtenstein,Good,38
22-06-2023,Lithuania,Moderate,72
22-06-2023,Luxembourg,Good,44
22-06-2023,Macao,Good,42
22-06-2023,Macedonia,Moderate,66
22-06-2023,Madagascar,Moderate,97
22-06-2023,Malaysia,Moderate,79
22-06-2023,Malta,Moderate,51
22-06-2023,Martinique,Moderate,64
22-06-2023,Mexico,Unhealthy for Sensitive Groups,132
22-06-2023,Moldova,Good,30
22-06-2023,Monaco,Moderate,63
22-06-2023,Mongolia,Moderate,55
22-06-2023,Montenegro,Moderate,62
22-06-2023,Myanmar,Moderate,60
22-06-2023,Nepal,Moderate,65
22-06-2023,Netherlands,Moderate,74
22-06-2023,New Zealand,Good,35
22-06-2023,Nigeria,Moderate,78
22-06-2023,Norway,Good,49
22-06-2023,Pakistan,Unhealthy for Sensitive Groups,101
22-06-2023,Palestinian Territory,Moderate,75
22-06-2023,Peru,Moderate,62
22-06-2023,Philippines,Moderate,55
22-06-2023,Poland,Moderate,81
22-06-2023,Portugal,Good,28
22-06-2023,Puerto Rico,Good,28
22-06-2023,Qatar,Moderate,59
22-06-2023,Reunion,Good,13
22-06-2023,Romania,Moderate,76
22-06-2023,Russia,Moderate,75
22-06-2023,San Marino,Moderate,53
22-06-2023,Saudi Arabia,Good,46
22-06-2023,Senegal,Moderate,52
22-06-2023,Serbia,Moderate,90
22-06-2023,Singapore,Good,38
22-06-2023,Slovakia,Good,50
22-06-2023,Slovenia,Moderate,67
22-06-2023,South Africa,Unhealthy,167
22-06-2023,South Korea,Moderate,74
22-06-2023,Spain,Moderate,79
22-06-2023,Sri Lanka,Moderate,81
22-06-2023,Sweden,Good,49
22-06-2023,Switzerland,Good,31
22-06-2023,Taiwan,Moderate,57
22-06-2023,Tajikistan,Moderate,67
22-06-2023,Thailand,Moderate,88
22-06-2023,Togo,Unhealthy for Sensitive Groups,121
22-06-2023,Trinidad and Tobago,Good,32
22-06-2023,Turkey,Unhealthy for Sensitive Groups,101
22-06-2023,Turkmenistan,Unhealthy for Sensitive Groups,137
22-06-2023,Uganda,Unhealthy for Sensitive Groups,116
22-06-2023,Ukraine,Moderate,71
22-06-2023,United Arab Emirates,Moderate,64
22-06-2023,United Kingdom of Great Britain and Northern Ireland,Moderate,51
22-06-2023,United States of America,Moderate,99
22-06-2023,Uzbekistan,Good,41
22-06-2023,Vatican,Good,50
22-06-2023,Venezuela,Good,4
22-06-2023,Vietnam,Moderate,76
22-06-2023,Zambia,Moderate,83
29-06-2023,Albania,Moderate,52
29-06-2023,Algeria,Moderate,55
29-06-2023,Andorra,Moderate,65
29-06-2023,Angola,Unhealthy for Sensitive Groups,132
29-06-2023,Argentina,Good,40
29-06-2023,Armenia,Good,42
29-06-2023,Australia,Good,38
29-06-2023,Austria,Good,31
29-06-2023,Azerbaijan,Good,49
29-06-2023,Bahrain,Unhealthy for Sensitive Groups,142
29-06-2023,Bangladesh,Moderate,89
29-06-2023,Belarus,Good,32
29-06-2023,Belgium,Moderate,94
29-06-2023,Belize,Good,15
29-06-2023,Bermuda,Good,10
29-06-2023,Bolivia,Moderate,52
29-06-2023,Bosnia and Herzegovina,Good,47
29-06-2023,Brazil,Unhealthy for Sensitive Groups,122
29-06-2023,Brunei,Good,14
29-06-2023,Bulgaria,Good,20
29-06-2023,Burkina Faso,Unhealthy for Sensitive Groups,113
29-06-2023,Cambodia,Good,32
29-06-2023,Canada,Unhealthy for Sensitive Groups,136
29-06-2023,Cape Verde,Good,41
29-06-2023,Cayman Islands,Good,20
29-06-2023,Chile,Unhealthy,197
29-06-2023,China,Unhealthy for Sensitive Groups,126
29-06-2023,Colombia,Moderate,61
29-06-2023,Costa Rica,Good,9
29-06-2023,Croatia,Good,27
29-06-2023,Cyprus,Moderate,78
29-06-2023,Czech Republic,Good,50
29-06-2023,Denmark,Good,28
